p,e,n,poly,factorization
9341,1,2,x^2 + x + 2,2^3 * 3^3 * 5 * 173 * 467
9341,1,3,x^3 + x^2 + 7,2^2 * 5 * 467 * 499 * 174877
9341,1,4,x^4 + x^3 + 2,2^4 * 3^3 * 5 * 109 * 173 * 467 * 400249
9341,1,5,x^5 + x^4 + 2,2^2 * 5^2 * 467 * 37321 * 40803433361
9341,1,6,x^6 + x^5 + 48,2^3 * 3^4 * 5 * 7^2 * 19 * 173 * 467 * 499 * 31237 * 174877
9341,1,7,x^7 + x^6 + 7,2^2 * 5 * 467 * 664364974601005638442147
9341,1,8,x^8 + x^7 + 48,2^5 * 3^3 * 5 * 17 * 109 * 173 * 409 * 467 * 400249 * 547483787777
9341,1,9,x^9 + x^8 + 12,2^2 * 5 * 467 * 499 * 174877 * 3481759 * 190792599678255457
9341,1,10,x^10 + x^9 + 10,2^3 * 3^3 * 5^2 * 11 * 173 * 467 * 37321 * 117251 * 5902252121 * 40803433361
9341,1,11,x^11 + x^10 + 2,2^2 * 5 * 23 * 467 * 219913748160585979987759929525001296857
9341,1,12,x^12 + x^11 + 50,2^4 * 3^4 * 5 * 7^2 * 13 * 19 * 73 * 109 * 173 * 467 * 499 * 31237 * 174877 * 400249 * 8022454652869
9341,1,13,x^13 + x^12 + 50,2^2 * 5 * 53 * 443 * 467 * 48092385197164771321 * 390850838539463505214987
9341,1,14,x^14 + x^13 + 7,2^3 * 3^3 * 5 * 173 * 467 * 757092200929 * 877334018149 * 664364974601005638442147
9341,1,15,x^15 + x^14 + 40,2^2 * 5^2 * 31 * 241 * 467 * 499 * 1021 * 1801 * 36571 * 37321 * 174877 * 5503621 * 20960272981 * 40803433361
9341,1,16,x^16 + x^15 + 176,2^6 * 3^3 * 5 * 17 * 109 * 173 * 409 * 467 * 400249 * 1095569 * 24313410481 * 547483787777 * 1088006183548049
9341,1,17,x^17 + x^16 + 44,2^2 * 5 * 467 * 80819 * 3194676563796846073159 * 13013678724542636258434918555442935517
9341,1,18,x^18 + x^17 + 95,2^3 * 3^5 * 5 * 7^2 * 19 * 173 * 467 * 499 * 613 * 31237 * 174877 * 3481759 * 5754061 * 62777503598599 * 190792599678255457
9341,1,19,x^19 + x^18 + 35,2^2 * 5 * 467 * 4736577679 * 1687067286407 * 36688514272524812139564720814606322352611205441503
9341,1,20,x^20 + x^19 + 13,2^4 * 3^3 * 5^2 * 11 * 61 * 109 * 173 * 281 * 467 * 641 * 37321 * 117251 * 400249 * 5902252121 * 40803433361 * 5275368323249409246526381
9341,2,2,x^4 + x^3 + 2,2^4 * 3^3 * 5 * 109 * 173 * 467 * 400249
9341,2,3,x^6 + x^5 + 48,2^3 * 3^4 * 5 * 7^2 * 19 * 173 * 467 * 499 * 31237 * 174877
9341,2,4,x^8 + x^7 + 48,2^5 * 3^3 * 5 * 17 * 109 * 173 * 409 * 467 * 400249 * 547483787777
9341,2,5,x^10 + x^9 + 10,2^3 * 3^3 * 5^2 * 11 * 173 * 467 * 37321 * 117251 * 5902252121 * 40803433361
