p,r,n,poly,factorization
1031,1,2,x^2 + x + 21,2^4 * 3 * 5 * 43 * 103
1031,1,3,x^3 + x^2 + 11,2 * 5 * 7 * 97 * 103 * 1567
1031,1,4,x^4 + x^3 + 61,2^5 * 3 * 5 * 43 * 103 * 531481
1031,1,5,x^5 + x^4 + 18,2 * 5^2 * 31 * 103 * 7296664931
1031,1,6,x^6 + x^5 + 91,2^4 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567
1031,1,7,x^7 + x^6 + 80,2 * 5 * 29^2 * 71 * 103 * 20133491132567
1031,1,8,x^8 + x^7 + 91,2^6 * 3 * 5 * 43 * 89 * 103 * 531481 * 6347674649
1031,1,9,x^9 + x^8 + 54,2 * 5 * 7 * 19 * 97 * 103 * 163 * 1567 * 387802662761809
1031,1,10,x^10 + x^9 + 84,2^4 * 3 * 5^2 * 11 * 31 * 43 * 103 * 7296664931 * 102617385151
1031,1,11,x^11 + x^10 + 33,2 * 5 * 103 * 12343 * 19840628149 * 5546665127719123
1031,1,12,x^12 + x^11 + 84,2^5 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567 * 531481 * 1129885024561
1031,1,13,x^13 + x^12 + 5,2 * 5 * 53 * 103 * 599 * 45480238344273212003603579673499
1031,1,14,x^14 + x^13 + 109,2^4 * 3 * 5 * 29^2 * 43 * 71 * 103 * 65927 * 164249 * 110806417 * 20133491132567
1031,1,15,x^15 + x^14 + 18,2 * 5^2 * 7 * 31 * 97 * 103 * 1567 * 67845781 * 7296664931 * 18798579609859741
1031,1,16,x^16 + x^15 + 14,2^7 * 3 * 5 * 17 * 43 * 89 * 103 * 96017 * 156817 * 531481 * 6347674649 * 2493728285617
1031,1,17,x^17 + x^16 + 12,2 * 5 * 103 * 137 * 239 * 458711069 * 108618148846182004984035719989047491
1031,1,18,x^18 + x^17 + 161,2^4 * 3^3 * 5 * 7 * 13 * 19 * 43 * 73 * 97 * 103 * 163 * 373 * 1567 * 3691 * 171559 * 632227213 * 387802662761809
1031,1,19,x^19 + x^18 + 27,2 * 5 * 103 * 2980647797417 * 581790672519999670066827572695897968012497
1031,1,20,x^20 + x^19 + 37,2^5 * 3 * 5^2 * 11 * 31 * 43 * 103 * 531481 * 815341 * 1470281 * 7296664931 * 102617385151 * 1064950169501
1031,1,21,x^21 + x^20 + 6,2 * 5 * 7^2 * 29^2 * 71 * 97 * 103 * 1303 * 1567 * 562803623509 * 20133491132567 * 280726365243452618029
1031,1,22,x^22 + x^21 + 161,2^4 * 3 * 5 * 23 * 43 * 103 * 331 * 12343 * 84956587 * 19840628149 * 5546665127719123 * 2096103552674978221
1031,1,23,x^23 + x^22 + 11,2 * 5 * 103 * 5326847 * 367825516809946801096739833258495551625785432089557416953879
1031,1,24,x^24 + x^23 + 68,2^6 * 3^2 * 5 * 7 * 13 * 43 * 73 * 89 * 97 * 103 * 373 * 1567 * 6073 * 348097 * 531481 * 6347674649 * 1129885024561 * 603901016633641
1031,1,25,x^25 + x^24 + 3,2 * 5^3 * 31 * 103 * 151 * 27701 * 7296664931 * 88050313532942480910015235601068703394299802515197951
1031,1,26,x^26 + x^25 + 76,2^4 * 3 * 5 * 43 * 53 * 103 * 599 * 1316303 * 18190979 * 60182608543518114396913 * 45480238344273212003603579673499
1031,2,2,x^4 + x^3 + 61,2^5 * 3 * 5 * 43 * 103 * 531481
1031,2,3,x^6 + x^5 + 91,2^4 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567
1031,2,4,x^8 + x^7 + 91,2^6 * 3 * 5 * 43 * 89 * 103 * 531481 * 6347674649
1031,2,5,x^10 + x^9 + 84,2^4 * 3 * 5^2 * 11 * 31 * 43 * 103 * 7296664931 * 102617385151
1031,2,6,x^12 + x^11 + 84,2^5 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567 * 531481 * 1129885024561
1031,2,7,x^14 + x^13 + 109,2^4 * 3 * 5 * 29^2 * 43 * 71 * 103 * 65927 * 164249 * 110806417 * 20133491132567
1031,2,8,x^16 + x^15 + 14,2^7 * 3 * 5 * 17 * 43 * 89 * 103 * 96017 * 156817 * 531481 * 6347674649 * 2493728285617
1031,2,9,x^18 + x^17 + 161,2^4 * 3^3 * 5 * 7 * 13 * 19 * 43 * 73 * 97 * 103 * 163 * 373 * 1567 * 3691 * 171559 * 632227213 * 387802662761809
1031,2,10,x^20 + x^19 + 37,2^5 * 3 * 5^2 * 11 * 31 * 43 * 103 * 531481 * 815341 * 1470281 * 7296664931 * 102617385151 * 1064950169501
1031,2,11,x^22 + x^21 + 161,2^4 * 3 * 5 * 23 * 43 * 103 * 331 * 12343 * 84956587 * 19840628149 * 5546665127719123 * 2096103552674978221
1031,2,12,x^24 + x^23 + 68,2^6 * 3^2 * 5 * 7 * 13 * 43 * 73 * 89 * 97 * 103 * 373 * 1567 * 6073 * 348097 * 531481 * 6347674649 * 1129885024561 * 603901016633641
1031,2,13,x^26 + x^25 + 76,2^4 * 3 * 5 * 43 * 53 * 103 * 599 * 1316303 * 18190979 * 60182608543518114396913 * 45480238344273212003603579673499
1031,3,2,x^6 + x^5 + 91,2^4 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567
1031,3,3,x^9 + x^8 + 54,2 * 5 * 7 * 19 * 97 * 103 * 163 * 1567 * 387802662761809
1031,3,4,x^12 + x^11 + 84,2^5 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567 * 531481 * 1129885024561
1031,3,5,x^15 + x^14 + 18,2 * 5^2 * 7 * 31 * 97 * 103 * 1567 * 67845781 * 7296664931 * 18798579609859741
1031,3,6,x^18 + x^17 + 161,2^4 * 3^3 * 5 * 7 * 13 * 19 * 43 * 73 * 97 * 103 * 163 * 373 * 1567 * 3691 * 171559 * 632227213 * 387802662761809
1031,3,7,x^21 + x^20 + 6,2 * 5 * 7^2 * 29^2 * 71 * 97 * 103 * 1303 * 1567 * 562803623509 * 20133491132567 * 280726365243452618029
1031,3,8,x^24 + x^23 + 68,2^6 * 3^2 * 5 * 7 * 13 * 43 * 73 * 89 * 97 * 103 * 373 * 1567 * 6073 * 348097 * 531481 * 6347674649 * 1129885024561 * 603901016633641
1031,4,2,x^8 + x^7 + 91,2^6 * 3 * 5 * 43 * 89 * 103 * 531481 * 6347674649
1031,4,3,x^12 + x^11 + 84,2^5 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567 * 531481 * 1129885024561
1031,4,4,x^16 + x^15 + 14,2^7 * 3 * 5 * 17 * 43 * 89 * 103 * 96017 * 156817 * 531481 * 6347674649 * 2493728285617
1031,4,5,x^20 + x^19 + 37,2^5 * 3 * 5^2 * 11 * 31 * 43 * 103 * 531481 * 815341 * 1470281 * 7296664931 * 102617385151 * 1064950169501
1031,4,6,x^24 + x^23 + 68,2^6 * 3^2 * 5 * 7 * 13 * 43 * 73 * 89 * 97 * 103 * 373 * 1567 * 6073 * 348097 * 531481 * 6347674649 * 1129885024561 * 603901016633641
1031,5,2,x^10 + x^9 + 84,2^4 * 3 * 5^2 * 11 * 31 * 43 * 103 * 7296664931 * 102617385151
1031,5,3,x^15 + x^14 + 18,2 * 5^2 * 7 * 31 * 97 * 103 * 1567 * 67845781 * 7296664931 * 18798579609859741
1031,5,4,x^20 + x^19 + 37,2^5 * 3 * 5^2 * 11 * 31 * 43 * 103 * 531481 * 815341 * 1470281 * 7296664931 * 102617385151 * 1064950169501
1031,5,5,x^25 + x^24 + 3,2 * 5^3 * 31 * 103 * 151 * 27701 * 7296664931 * 88050313532942480910015235601068703394299802515197951
1031,6,2,x^12 + x^11 + 84,2^5 * 3^2 * 5 * 7 * 13 * 43 * 73 * 97 * 103 * 373 * 1567 * 531481 * 1129885024561
1031,6,3,x^18 + x^17 + 161,2^4 * 3^3 * 5 * 7 * 13 * 19 * 43 * 73 * 97 * 103 * 163 * 373 * 1567 * 3691 * 171559 * 632227213 * 387802662761809
1031,6,4,x^24 + x^23 + 68,2^6 * 3^2 * 5 * 7 * 13 * 43 * 73 * 89 * 97 * 103 * 373 * 1567 * 6073 * 348097 * 531481 * 6347674649 * 1129885024561 * 603901016633641
1031,7,2,x^14 + x^13 + 109,2^4 * 3 * 5 * 29^2 * 43 * 71 * 103 * 65927 * 164249 * 110806417 * 20133491132567
