p,n,poly,factorization
1861,2,x^2 + x + 2,2^3 * 3 * 5 * 7^2 * 19 * 31
1861,3,x^3 + x^2 + 33,2^2 * 3^2 * 5 * 31 * 1155061
1861,4,x^4 + x^3 + 18,2^4 * 3 * 5 * 7^2 * 19 * 31 * 1229 * 1409
1861,5,x^5 + x^4 + 30,2^2 * 3 * 5^2 * 31 * 41 * 58541663681
1861,6,x^6 + x^5 + 2,2^3 * 3^2 * 5 * 7^2 * 19 * 31 * 37 * 93553 * 1155061
1861,7,x^7 + x^6 + 19,2^2 * 3 * 5 * 31 * 1564843127 * 26560782221
1861,8,x^8 + x^7 + 52,2^5 * 3 * 5 * 7^2 * 17 * 19 * 31 * 1229 * 1409 * 185897 * 1897729
1861,9,x^9 + x^8 + 21,2^2 * 3^3 * 5 * 31 * 937 * 1155061 * 51105583 * 289167211
1861,10,x^10 + x^9 + 6,2^3 * 3 * 5^2 * 7^2 * 11 * 19 * 31 * 41 * 191 * 751 * 2381 * 3191 * 58541663681
1861,11,x^11 + x^10 + 6,2^2 * 3 * 5 * 31 * 397 * 14442671 * 46561747 * 1867367811731599
1861,12,x^12 + x^11 + 30,2^4 * 3^2 * 5 * 7^2 * 13 * 19 * 31 * 37 * 109 * 1229 * 1409 * 63589 * 93553 * 133117 * 1155061
1861,13,x^13 + x^12 + 30,2^2 * 3 * 5 * 31 * 1726592724217799651378311926538399150693
1861,14,x^14 + x^13 + 102,2^3 * 3 * 5 * 7^3 * 19 * 29 * 31 * 44672713 * 1564843127 * 4578324479 * 26560782221
1861,15,x^15 + x^14 + 6,2^2 * 3^2 * 5^2 * 31 * 41 * 9391 * 1155061 * 58541663681 * 15311781238528502809951
1861,16,x^16 + x^15 + 11,2^6 * 3 * 5 * 7^2 * 17 * 19 * 31 * 97 * 593 * 1229 * 1409 * 185897 * 1897729 * 118587041 * 10545746539681
1861,17,x^17 + x^16 + 34,2^2 * 3 * 5 * 31 * 1361 * 383070942864733 * 39722636232816616560774832670473429
1861,18,x^18 + x^17 + 33,2^3 * 3^3 * 5 * 7^2 * 19 * 31 * 37 * 73 * 631 * 937 * 93553 * 1155061 * 1453897 * 51105583 * 289167211 * 620286571
1861,19,x^19 + x^18 + 21,2^2 * 3 * 5 * 31 * 20235647 * 3544467923849863577577502236290743372693672421631857
1861,20,x^20 + x^19 + 383,2^4 * 3 * 5^2 * 7^2 * 11 * 19 * 31 * 41 * 191 * 751 * 1229 * 1409 * 2381 * 3191 * 5512121 * 58541663681 * 26100697731156721721
1861,21,x^21 + x^20 + 63,2^2 * 3^2 * 5 * 31 * 211 * 1155061 * 26683441 * 1564843127 * 26560782221 * 306336509479781434662490482211
1861,22,x^22 + x^21 + 23,2^3 * 3 * 5 * 7^2 * 19 * 23^2 * 31 * 67 * 89 * 397 * 14442671 * 46561747 * 1867367811731599 * 157873757799959246000415263
1861,23,x^23 + x^22 + 82,2^2 * 3 * 5 * 31 * 47 * 1780561883 * 5098553330987 * 2016284174333204293935172541115048817141101497869
1861,24,x^24 + x^23 + 187,2^5 * 3^2 * 5 * 7^2 * 13 * 17 * 19 * 31 * 37 * 109 * 1229 * 1409 * 63589 * 93553 * 133117 * 185897 * 1155061 * 1897729 * 117389521 * 543401569 * 2255385409
