p,n,poly,factorization
1597,2,x^2 + x + 34,2^3 * 3 * 7 * 17 * 19 * 47
1597,3,x^3 + x^2 + 39,2^2 * 3^2 * 7 * 19 * 43 * 73 * 271
1597,4,x^4 + x^3 + 37,2^4 * 3 * 5 * 7 * 17 * 19 * 37 * 47 * 61 * 113
1597,5,x^5 + x^4 + 47,2^2 * 3 * 7 * 19 * 31 * 209956826531
1597,6,x^6 + x^5 + 87,2^3 * 3^2 * 7 * 17 * 19 * 43 * 47 * 73 * 271 * 2548813
1597,7,x^7 + x^6 + 29,2^2 * 3 * 7^2 * 19 * 743 * 6134857 * 520247771
1597,8,x^8 + x^7 + 33,2^5 * 3 * 5 * 7 * 17 * 19 * 37 * 47 * 61 * 113 * 281 * 11573996561
1597,9,x^9 + x^8 + 82,2^2 * 3^3 * 7 * 19 * 43 * 73 * 271 * 34687 * 324757 * 490888639
1597,10,x^10 + x^9 + 91,2^3 * 3 * 7 * 11 * 17 * 19 * 31 * 47 * 151 * 3913615661 * 209956826531
1597,11,x^11 + x^10 + 11,2^2 * 3 * 7 * 19 * 353 * 71782472427557 * 4261162263759347
1597,12,x^12 + x^11 + 34,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 37 * 43 * 47 * 61 * 73 * 113 * 271 * 2548813 * 500352578221
1597,13,x^13 + x^12 + 44,2^2 * 3 * 7 * 19 * 4733 * 324871 * 116084359 * 5350412887 * 288351734399
1597,14,x^14 + x^13 + 38,2^3 * 3 * 7^2 * 17 * 19 * 47 * 743 * 6134857 * 520247771 * 16578973523834233093
1597,15,x^15 + x^14 + 126,2^2 * 3^2 * 7 * 19 * 31 * 43 * 73 * 271 * 2561761 * 209956826531 * 16505500207613568241
1597,16,x^16 + x^15 + 29,2^6 * 3 * 5 * 7 * 17 * 19 * 37 * 47 * 61 * 113 * 281 * 977 * 157489 * 11573996561 * 137487920820250577
1597,17,x^17 + x^16 + 11,2^2 * 3 * 7 * 19 * 239 * 7494674682427065780950614313647955575947150741919
1597,18,x^18 + x^17 + 33,2^3 * 3^3 * 7 * 17 * 19 * 43 * 47 * 73 * 109 * 271 * 34687 * 324757 * 2548813 * 121235437 * 490888639 * 1255374829
1597,19,x^19 + x^18 + 111,2^2 * 3 * 7 * 19^2 * 191 * 1103 * 2281 * 4219 * 336757 * 14119178807 * 24942337883983242155950450181
1597,20,x^20 + x^19 + 156,2^4 * 3 * 5^2 * 7 * 11 * 17 * 19 * 31 * 37 * 41 * 47 * 61 * 113 * 151 * 321961 * 3913615661 * 209956826531 * 641035424868043981
1597,21,x^21 + x^20 + 42,2^2 * 3^2 * 7^2 * 19 * 43 * 73 * 127 * 271 * 743 * 37507 * 56197 * 6134857 * 520247771 * 1027443107929273800144940393
1597,22,x^22 + x^21 + 33,2^3 * 3 * 7 * 17 * 19 * 23 * 47 * 353 * 112178496497 * 71782472427557 * 4261162263759347 * 41796493810216073083
1597,23,x^23 + x^22 + 56,2^2 * 3 * 7 * 19 * 2671445367893 * 11123306059166644265381238325272044399780646835276449768199
1597,24,x^24 + x^23 + 528,2^5 * 3^2 * 5 * 7 * 13 * 17 * 19 * 37 * 43 * 47 * 61 * 73 * 113 * 271 * 281 * 2548813 * 11573996561 * 500352578221 * 42309639906659601272665681
