p,r,n,poly,factorization
5639,1,2,x^2 + x + 17,2^4 * 3 * 5 * 47 * 2819
5639,1,3,x^3 + x^2 + 3,2 * 7 * 43 * 157 * 673 * 2819
5639,1,4,x^4 + x^3 + 28,2^5 * 3 * 5 * 47 * 1237 * 2819 * 12853
5639,1,5,x^5 + x^4 + 2,2 * 101 * 2819 * 10012995653021
5639,1,6,x^6 + x^5 + 14,2^4 * 3^2 * 5 * 7 * 13 * 43 * 47 * 157 * 673 * 2819 * 815197
5639,1,7,x^7 + x^6 + 13,2 * 71 * 2819 * 4271 * 106047801730580641
5639,1,8,x^8 + x^7 + 7,2^6 * 3 * 5 * 47 * 313 * 1237 * 2819 * 12853 * 1615228783417
5639,1,9,x^9 + x^8 + 15,2 * 7 * 43 * 157 * 673 * 2819 * 33967 * 946575754503815143
5639,1,10,x^10 + x^9 + 71,2^4 * 3 * 5^2 * 11 * 47 * 61 * 101 * 1171 * 2819 * 257324981 * 10012995653021
5639,1,11,x^11 + x^10 + 18,2 * 23 * 89 * 2819 * 51947447509 * 305784813889903101680587
5639,1,12,x^12 + x^11 + 68,2^5 * 3^2 * 5 * 7 * 13 * 43 * 47 * 157 * 673 * 1237 * 2819 * 12853 * 815197 * 1011133186620721
5639,1,13,x^13 + x^12 + 94,2 * 1483 * 2819 * 67939 * 113782813 * 1983800580191 * 45463951271046491
5639,1,14,x^14 + x^13 + 83,2^4 * 3 * 5 * 29 * 47 * 71 * 211 * 2819 * 4271 * 171263 * 730969 * 41965519 * 106047801730580641
5639,1,15,x^15 + x^14 + 6,2 * 7 * 31 * 43 * 101 * 157 * 571 * 673 * 2819 * 1904609041 * 10012995653021 * 30320481238688701
5639,1,16,x^16 + x^15 + 83,2^7 * 3 * 5 * 17 * 47 * 313 * 1237 * 2819 * 12853 * 85710898817 * 1615228783417 * 350834093069807569
5639,1,17,x^17 + x^16 + 2,2 * 2819 * 6971 * 149973820052935474533793097052973630525919859934236258611
5639,1,18,x^18 + x^17 + 74,2^4 * 3^3 * 5 * 7 * 13 * 19 * 43 * 47 * 73 * 157 * 541 * 673 * 1297 * 2819 * 33967 * 815197 * 11012289261319 * 946575754503815143
5639,1,19,x^19 + x^18 + 6,2 * 2819 * 8741 * 4198583 * 5133599399 * 36225986189 * 1007422166569319 * 4835007668733377849183
5639,1,20,x^20 + x^19 + 56,2^5 * 3 * 5^2 * 11 * 47 * 61 * 101 * 661 * 1171 * 1237 * 2819 * 12853 * 257324981 * 10012995653021 * 1546732758302738928691194781
5639,1,21,x^21 + x^20 + 72,2 * 7^2 * 43 * 71 * 157 * 547 * 673 * 1723 * 2819 * 4271 * 20612664157 * 106047801730580641 * 7600520607703774933823542819
5639,2,2,x^4 + x^3 + 28,2^5 * 3 * 5 * 47 * 1237 * 2819 * 12853
5639,2,3,x^6 + x^5 + 14,2^4 * 3^2 * 5 * 7 * 13 * 43 * 47 * 157 * 673 * 2819 * 815197
5639,2,4,x^8 + x^7 + 7,2^6 * 3 * 5 * 47 * 313 * 1237 * 2819 * 12853 * 1615228783417
5639,2,5,x^10 + x^9 + 71,2^4 * 3 * 5^2 * 11 * 47 * 61 * 101 * 1171 * 2819 * 257324981 * 10012995653021
5639,2,6,x^12 + x^11 + 68,2^5 * 3^2 * 5 * 7 * 13 * 43 * 47 * 157 * 673 * 1237 * 2819 * 12853 * 815197 * 1011133186620721
5639,2,7,x^14 + x^13 + 83,2^4 * 3 * 5 * 29 * 47 * 71 * 211 * 2819 * 4271 * 171263 * 730969 * 41965519 * 106047801730580641
5639,2,8,x^16 + x^15 + 83,2^7 * 3 * 5 * 17 * 47 * 313 * 1237 * 2819 * 12853 * 85710898817 * 1615228783417 * 350834093069807569
