p,n,poly,factorization
5147,2,x^2 + x + 7,2^3 * 3^2 * 11 * 13 * 31 * 83
5147,3,x^3 + x^2 + 10,2 * 7 * 31 * 83 * 3785251
5147,4,x^4 + x^3 + 2,2^4 * 3^2 * 5 * 11 * 13 * 17 * 31 * 83 * 155833
5147,5,x^5 + x^4 + 10,2 * 31 * 83 * 132361 * 5303236801
5147,6,x^6 + x^5 + 6,2^3 * 3^3 * 7 * 11 * 13 * 31 * 83 * 277 * 31873 * 3785251
5147,7,x^7 + x^6 + 27,2 * 31 * 83 * 10297757 * 1805787974189921
5147,8,x^8 + x^7 + 15,2^5 * 3^2 * 5 * 11 * 13 * 17 * 31 * 83 * 281 * 1201 * 155833 * 1039770161
5147,9,x^9 + x^8 + 4,2 * 7 * 19 * 31 * 73 * 83 * 3785251 * 172928143 * 77514485833
5147,10,x^10 + x^9 + 5,2^3 * 3^2 * 11 * 13 * 31 * 83 * 991 * 79241 * 132361 * 8935291 * 5303236801
5147,11,x^11 + x^10 + 37,2 * 23 * 31 * 83 * 567411629680765955515335194220122819
5147,12,x^12 + x^11 + 63,2^4 * 3^3 * 5 * 7 * 11 * 13 * 17 * 31 * 83 * 97 * 277 * 31873 * 155833 * 3785251 * 7235106401209
5147,13,x^13 + x^12 + 25,2 * 31 * 83 * 28865773 * 11977087252012266216551485726435482397
5147,14,x^14 + x^13 + 65,2^3 * 3^2 * 11 * 13 * 31 * 83 * 10297757 * 10225422929 * 1817855505467 * 1805787974189921
5147,15,x^15 + x^14 + 52,2 * 7 * 31 * 83 * 211 * 132361 * 571801 * 3785251 * 10408861 * 5303236801 * 392119449976831
5147,16,x^16 + x^15 + 31,2^6 * 3^2 * 5 * 11 * 13 * 17 * 31 * 83 * 193 * 281 * 1201 * 155833 * 1039770161 * 1275986387698705060467869617
5147,17,x^17 + x^16 + 27,2 * 31 * 83 * 103 * 239 * 307 * 74257 * 126107 * 3428474971314403808481786867212755181359561
5147,18,x^18 + x^17 + 18,2^3 * 3^4 * 7 * 11 * 13 * 19 * 31 * 37 * 73 * 83 * 277 * 397 * 31873 * 93871 * 3785251 * 172928143 * 77514485833 * 4494486492451
5147,19,x^19 + x^18 + 64,2 * 31 * 83 * 65248357 * 98512158403262511715787194836451196418833776119592854378481
5147,20,x^20 + x^19 + 125,2^4 * 3^2 * 5^2 * 11 * 13 * 17 * 31 * 61 * 83 * 941 * 991 * 5101 * 79241 * 132361 * 155833 * 8935291 * 5303236801 * 336425218621850499481
5147,21,x^21 + x^20 + 99,2 * 7^2 * 31 * 83 * 883 * 2311 * 3785251 * 10297757 * 1805787974189921 * 24193959179249109261925812474327845059
