p,e,n,poly,factorization
7873,1,2,x^2 + x + 10,2^7 * 3 * 31 * 41 * 127
7873,1,3,x^3 + x^2 + 7,2^6 * 3^2 * 19^2 * 41 * 57241
7873,1,4,x^4 + x^3 + 20,2^8 * 3 * 5 * 13^2 * 31 * 41 * 127 * 36677
7873,1,5,x^5 + x^4 + 5,2^6 * 3 * 41 * 41642701 * 92273561
7873,1,6,x^6 + x^5 + 26,2^7 * 3^2 * 7 * 19^2 * 31 * 41 * 127 * 277 * 31963 * 57241
7873,1,7,x^7 + x^6 + 26,2^6 * 3 * 41 * 43 * 814171 * 1070231 * 6356749001
7873,1,8,x^8 + x^7 + 7,2^9 * 3 * 5 * 13^2 * 17 * 31 * 41 * 127 * 433 * 36677 * 260972167361
7873,1,9,x^9 + x^8 + 20,2^6 * 3^3 * 19^2 * 41 * 991 * 2341 * 57241 * 34217256529867699
7873,1,10,x^10 + x^9 + 78,2^7 * 3 * 11 * 31 * 41 * 127 * 209621 * 41642701 * 92273561 * 1666012951
7873,1,11,x^11 + x^10 + 10,2^6 * 3 * 41 * 11287 * 81073543528640659069333955339843309
7873,1,12,x^12 + x^11 + 174,2^8 * 3^2 * 5 * 7 * 13^2 * 19^2 * 31 * 37 * 41 * 97 * 127 * 277 * 31963 * 36677 * 50893 * 57241 * 21034369
7873,1,13,x^13 + x^12 + 37,2^6 * 3 * 41 * 79 * 313 * 677 * 5105231 * 663686048151196952214440468373169
7873,1,14,x^14 + x^13 + 87,2^7 * 3 * 31 * 41 * 43 * 127 * 379 * 6791 * 814171 * 1070231 * 6356749001 * 92515267567367093
7873,1,15,x^15 + x^14 + 7,2^6 * 3^2 * 19^2 * 41 * 57241 * 41642701 * 92273561 * 601468569151 * 24538833174471626431
7873,1,16,x^16 + x^15 + 28,2^10 * 3 * 5 * 13^2 * 17 * 31 * 41 * 127 * 401 * 433 * 4801 * 36677 * 260972167361 * 3833680689397170416440241
7873,1,17,x^17 + x^16 + 84,2^6 * 3 * 41 * 8297 * 866083 * 1506027349 * 11385872401 * 11729805623 * 150774743552035927312433
7873,1,18,x^18 + x^17 + 21,2^7 * 3^3 * 7 * 19^2 * 31 * 41 * 127 * 277 * 991 * 2341 * 31963 * 57241 * 10496323 * 22688423600798251 * 34217256529867699
7873,1,19,x^19 + x^18 + 40,2^6 * 3 * 41 * 2537496649637 * 171021634488202999 * 31125989148891505313250101930957048744801
7873,1,20,x^20 + x^19 + 52,2^8 * 3 * 5^2 * 11 * 13^2 * 31 * 41 * 127 * 1181 * 36677 * 45541 * 209621 * 41642701 * 92273561 * 1666012951 * 54890797402707865544221
7873,2,2,x^4 + x^3 + 20,2^8 * 3 * 5 * 13^2 * 31 * 41 * 127 * 36677
