p,e,n,poly,factorization
7109,1,2,x^2 + x + 19,2^3 * 3^2 * 5 * 79 * 1777
7109,1,3,x^3 + x^2 + 3,2^2 * 7 * 1777 * 7220713
7109,1,4,x^4 + x^3 + 3,2^4 * 3^2 * 5 * 79 * 1777 * 2273 * 11117
7109,1,5,x^5 + x^4 + 8,2^2 * 11 * 41 * 1777 * 200461 * 28254571
7109,1,6,x^6 + x^5 + 50,2^3 * 3^3 * 5 * 7 * 79 * 1777 * 7220713 * 16843591
7109,1,7,x^7 + x^6 + 32,2^2 * 1777 * 273603263851 * 471835818721
7109,1,8,x^8 + x^7 + 67,2^5 * 3^2 * 5 * 79 * 1777 * 2273 * 11117 * 1277038707985081
7109,1,9,x^9 + x^8 + 15,2^2 * 7 * 1777 * 7220713 * 896243239 * 144020791339489
7109,1,10,x^10 + x^9 + 32,2^3 * 3^2 * 5^2 * 11 * 41 * 79 * 1571 * 1777 * 200461 * 28254571 * 325107344711
7109,1,11,x^11 + x^10 + 3,2^2 * 23 * 89 * 1777 * 5051139042071 * 31888865684060377350623
7109,1,12,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 79 * 1777 * 2273 * 3109 * 11117 * 7220713 * 16843591 * 63193145593
7109,1,13,x^13 + x^12 + 14,2^2 * 1777 * 20997211 * 7807124027 * 234999077197 * 432558068892197249
7109,1,14,x^14 + x^13 + 62,2^3 * 3^2 * 5 * 29 * 79 * 1777 * 11299 * 254213 * 273603263851 * 471835818721 * 1549366767439
7109,1,15,x^15 + x^14 + 65,2^2 * 7 * 11 * 31 * 41 * 1777 * 163411 * 200461 * 7220713 * 28254571 * 1287549804401445251068021
7109,1,16,x^16 + x^15 + 14,2^6 * 3^2 * 5 * 17 * 79 * 353 * 1777 * 2273 * 11117 * 18999313 * 1277038707985081 * 28607281788589117297
7109,1,17,x^17 + x^16 + 40,2^2 * 137 * 1777 * 12990472379 * 2505788964254249391748007 * 9543492126338333638842461
7109,1,18,x^18 + x^17 + 106,2^3 * 3^4 * 5 * 7 * 19 * 79 * 1777 * 7220713 * 16843591 * 896243239 * 144020791339489 * 2264520359872424953909
7109,1,19,x^19 + x^18 + 17,2^2 * 1777 * 22079 * 15083303 * 4576443323 * 1411270969822800269971050089707472963686174491461
7109,1,20,x^20 + x^19 + 87,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 79 * 101 * 1571 * 1777 * 2273 * 2441 * 11117 * 200461 * 370061 * 2463841 * 28254571 * 325107344711 * 475732828061
7109,2,2,x^4 + x^3 + 3,2^4 * 3^2 * 5 * 79 * 1777 * 2273 * 11117
7109,2,3,x^6 + x^5 + 50,2^3 * 3^3 * 5 * 7 * 79 * 1777 * 7220713 * 16843591
7109,2,4,x^8 + x^7 + 67,2^5 * 3^2 * 5 * 79 * 1777 * 2273 * 11117 * 1277038707985081
7109,2,5,x^10 + x^9 + 32,2^3 * 3^2 * 5^2 * 11 * 41 * 79 * 1571 * 1777 * 200461 * 28254571 * 325107344711
7109,2,6,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 79 * 1777 * 2273 * 3109 * 11117 * 7220713 * 16843591 * 63193145593
7109,2,7,x^14 + x^13 + 62,2^3 * 3^2 * 5 * 29 * 79 * 1777 * 11299 * 254213 * 273603263851 * 471835818721 * 1549366767439
7109,2,8,x^16 + x^15 + 14,2^6 * 3^2 * 5 * 17 * 79 * 353 * 1777 * 2273 * 11117 * 18999313 * 1277038707985081 * 28607281788589117297
7109,2,9,x^18 + x^17 + 106,2^3 * 3^4 * 5 * 7 * 19 * 79 * 1777 * 7220713 * 16843591 * 896243239 * 144020791339489 * 2264520359872424953909
7109,2,10,x^20 + x^19 + 87,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 79 * 101 * 1571 * 1777 * 2273 * 2441 * 11117 * 200461 * 370061 * 2463841 * 28254571 * 325107344711 * 475732828061
7109,3,2,x^6 + x^5 + 50,2^3 * 3^3 * 5 * 7 * 79 * 1777 * 7220713 * 16843591
7109,3,3,x^9 + x^8 + 15,2^2 * 7 * 1777 * 7220713 * 896243239 * 144020791339489
7109,3,4,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 79 * 1777 * 2273 * 3109 * 11117 * 7220713 * 16843591 * 63193145593
7109,3,5,x^15 + x^14 + 65,2^2 * 7 * 11 * 31 * 41 * 1777 * 163411 * 200461 * 7220713 * 28254571 * 1287549804401445251068021
7109,3,6,x^18 + x^17 + 106,2^3 * 3^4 * 5 * 7 * 19 * 79 * 1777 * 7220713 * 16843591 * 896243239 * 144020791339489 * 2264520359872424953909
7109,4,2,x^8 + x^7 + 67,2^5 * 3^2 * 5 * 79 * 1777 * 2273 * 11117 * 1277038707985081
7109,4,3,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 79 * 1777 * 2273 * 3109 * 11117 * 7220713 * 16843591 * 63193145593
7109,4,4,x^16 + x^15 + 14,2^6 * 3^2 * 5 * 17 * 79 * 353 * 1777 * 2273 * 11117 * 18999313 * 1277038707985081 * 28607281788589117297
7109,4,5,x^20 + x^19 + 87,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 79 * 101 * 1571 * 1777 * 2273 * 2441 * 11117 * 200461 * 370061 * 2463841 * 28254571 * 325107344711 * 475732828061
7109,5,2,x^10 + x^9 + 32,2^3 * 3^2 * 5^2 * 11 * 41 * 79 * 1571 * 1777 * 200461 * 28254571 * 325107344711
7109,5,3,x^15 + x^14 + 65,2^2 * 7 * 11 * 31 * 41 * 1777 * 163411 * 200461 * 7220713 * 28254571 * 1287549804401445251068021
7109,5,4,x^20 + x^19 + 87,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 79 * 101 * 1571 * 1777 * 2273 * 2441 * 11117 * 200461 * 370061 * 2463841 * 28254571 * 325107344711 * 475732828061
7109,6,2,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 79 * 1777 * 2273 * 3109 * 11117 * 7220713 * 16843591 * 63193145593
7109,6,3,x^18 + x^17 + 106,2^3 * 3^4 * 5 * 7 * 19 * 79 * 1777 * 7220713 * 16843591 * 896243239 * 144020791339489 * 2264520359872424953909
7109,7,2,x^14 + x^13 + 62,2^3 * 3^2 * 5 * 29 * 79 * 1777 * 11299 * 254213 * 273603263851 * 471835818721 * 1549366767439
7109,8,2,x^16 + x^15 + 14,2^6 * 3^2 * 5 * 17 * 79 * 353 * 1777 * 2273 * 11117 * 18999313 * 1277038707985081 * 28607281788589117297
7109,9,2,x^18 + x^17 + 106,2^3 * 3^4 * 5 * 7 * 19 * 79 * 1777 * 7220713 * 16843591 * 896243239 * 144020791339489 * 2264520359872424953909
7109,10,2,x^20 + x^19 + 87,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 79 * 101 * 1571 * 1777 * 2273 * 2441 * 11117 * 200461 * 370061 * 2463841 * 28254571 * 325107344711 * 475732828061
