p,n,poly,factorization
3251,2,x^2 + x + 10,2^3 * 3 * 5^3 * 13 * 271
3251,3,x^3 + x^2 + 7,2 * 5^3 * 13 * 10572253
3251,4,x^4 + x^3 + 24,2^4 * 3 * 5^3 * 13 * 17 * 137 * 271 * 2269
3251,5,x^5 + x^4 + 9,2 * 5^4 * 13 * 107101 * 208659401
3251,6,x^6 + x^5 + 56,2^3 * 3^2 * 5^3 * 7 * 13 * 271 * 503131 * 10572253
3251,7,x^7 + x^6 + 3,2 * 5^3 * 13 * 2689 * 439182092173372213
3251,8,x^8 + x^7 + 37,2^5 * 3 * 5^3 * 13 * 17 * 97 * 137 * 271 * 2269 * 575792691433
3251,9,x^9 + x^8 + 3,2 * 5^3 * 13 * 6301 * 82261 * 10572253 * 2277709602373
3251,10,x^10 + x^9 + 26,2^3 * 3 * 5^4 * 11 * 13 * 31 * 271 * 521 * 25031 * 25111 * 107101 * 208659401
3251,11,x^11 + x^10 + 33,2 * 5^3 * 13 * 23 * 5735555247741316258498570395075707
3251,12,x^12 + x^11 + 23,2^4 * 3^2 * 5^3 * 7 * 13 * 17 * 137 * 181 * 271 * 2269 * 4021 * 9397 * 16333 * 503131 * 10572253
3251,13,x^13 + x^12 + 19,2 * 5^3 * 13^2 * 131 * 6876260557913111 * 119061203920539510319561
3251,14,x^14 + x^13 + 161,2^3 * 3 * 5^3 * 13 * 271 * 617 * 2689 * 4397 * 435037425249799 * 439182092173372213
3251,15,x^15 + x^14 + 7,2 * 5^4 * 13 * 107101 * 10572253 * 38579701 * 208659401 * 323327980748166048301
3251,16,x^16 + x^15 + 24,2^6 * 3 * 5^3 * 13 * 17 * 97 * 137 * 271 * 2269 * 575792691433 * 6238867471966995629304138001
3251,17,x^17 + x^16 + 13,2 * 5^3 * 13 * 3587436731 * 109843050224759 * 395228528746418230836628104709573
3251,18,x^18 + x^17 + 73,2^3 * 3^3 * 5^3 * 7 * 13 * 19 * 271 * 523 * 6301 * 82261 * 503131 * 10572253 * 2277709602373 * 39602743453287541
3251,19,x^19 + x^18 + 59,2 * 5^3 * 13 * 5584751102316801594695491193 * 294737392411648459877012166063407333
3251,20,x^20 + x^19 + 42,2^4 * 3 * 5^4 * 11 * 13 * 17 * 31 * 137 * 271 * 521 * 2269 * 25031 * 25111 * 107101 * 4182421 * 208659401 * 2983375839815436523981
3251,21,x^21 + x^20 + 49,2 * 5^3 * 13 * 127 * 2689 * 2930299 * 10572253 * 6079987033 * 17537461789 * 35114377746001 * 439182092173372213
3251,22,x^22 + x^21 + 149,2^3 * 3 * 5^3 * 13 * 23 * 271 * 57773 * 96493 * 23649142526848109100321559 * 5735555247741316258498570395075707
