p,n,poly,factorization
5653,2,x^2 + x + 5,2^3 * 3^2 * 11 * 157 * 257
5653,3,x^3 + x^2 + 6,2^2 * 3^3 * 7^2 * 157 * 217429
5653,4,x^4 + x^3 + 6,2^4 * 3^2 * 5 * 11 * 157 * 257 * 3195641
5653,5,x^5 + x^4 + 6,2^2 * 3^2 * 157 * 181 * 401 * 14072453641
5653,6,x^6 + x^5 + 5,2^3 * 3^3 * 7^2 * 11 * 157 * 257 * 661 * 48337 * 217429
5653,7,x^7 + x^6 + 18,2^2 * 3^2 * 157 * 152783 * 213636626556984821
5653,8,x^8 + x^7 + 37,2^5 * 3^2 * 5 * 11 * 17 * 157 * 257 * 1289 * 26153 * 890969 * 3195641
5653,9,x^9 + x^8 + 117,2^2 * 3^4 * 7^2 * 73 * 157 * 1747 * 217429 * 416107 * 204989620357
5653,10,x^10 + x^9 + 20,2^3 * 3^2 * 11 * 61 * 157 * 181 * 257 * 401 * 14072453641 * 16738220631901
5653,11,x^11 + x^10 + 11,2^2 * 3^2 * 23 * 67 * 157 * 166196647 * 621972466897 * 209252488006717
5653,12,x^12 + x^11 + 31,2^4 * 3^3 * 5 * 7^2 * 11 * 13 * 37 * 157 * 257 * 661 * 877 * 48337 * 217429 * 3195641 * 2420868829
5653,13,x^13 + x^12 + 96,2^2 * 3^2 * 157 * 6761 * 35206991 * 24518133251 * 182514516217649574222161
5653,14,x^14 + x^13 + 43,2^3 * 3^2 * 11 * 157 * 257 * 152783 * 213636626556984821 * 32628498891161275008397
5653,15,x^15 + x^14 + 80,2^2 * 3^3 * 7^2 * 157 * 181 * 401 * 217429 * 442831 * 14072453641 * 2354599436352173151391231
5653,16,x^16 + x^15 + 91,2^6 * 3^2 * 5 * 11 * 17 * 97 * 157 * 257 * 1289 * 26153 * 890969 * 3195641 * 13331761 * 403220528334757970593
5653,17,x^17 + x^16 + 24,2^2 * 3^2 * 157 * 11731 * 735946513087 * 3518111824291 * 35813739750343605338514727355303
5653,18,x^18 + x^17 + 43,2^3 * 3^4 * 7^2 * 11 * 19 * 73 * 157 * 257 * 661 * 1747 * 48337 * 217429 * 416107 * 204989620357 * 1717593199042936091887
5653,19,x^19 + x^18 + 31,2^2 * 3^2 * 157 * 59699 * 4262512755819582408223270278427 * 136604756802475681133557119471071
5653,20,x^20 + x^19 + 5,2^4 * 3^2 * 5^2 * 11 * 41 * 61 * 157 * 181 * 257 * 401 * 1361 * 452161 * 3195641 * 14072453641 * 16738220631901 * 8266597324849797221
5653,21,x^21 + x^20 + 34,2^2 * 3^3 * 7^3 * 157 * 8737 * 152783 * 217429 * 213636626556984821 * 17410474904911864392903404230906023242671
