p,n,poly,factorization
641,2,x^2 + x + 6,2^8 * 3 * 5 * 107
641,3,x^3 + x^2 + 6,2^7 * 5 * 7 * 58789
641,4,x^4 + x^3 + 27,2^9 * 3 * 5 * 107 * 205441
641,5,x^5 + x^4 + 54,2^7 * 5^2 * 11 * 4091 * 751481
641,6,x^6 + x^5 + 19,2^8 * 3^2 * 5 * 7 * 13 * 67 * 107 * 157 * 58789
641,7,x^7 + x^6 + 12,2^7 * 5 * 281 * 1289 * 191808122983
641,8,x^8 + x^7 + 66,2^10 * 3 * 5 * 107 * 81569 * 205441 * 1034849
641,9,x^9 + x^8 + 12,2^7 * 5 * 7 * 37 * 883 * 58789 * 2123174801053
641,10,x^10 + x^9 + 3,2^8 * 3 * 5^2 * 11 * 107 * 4091 * 751481 * 168560231681
641,11,x^11 + x^10 + 54,2^7 * 5 * 28909 * 405718939484192995470679
641,12,x^12 + x^11 + 17,2^9 * 3^2 * 5 * 7 * 13 * 67 * 107 * 157 * 58789 * 205441 * 168822785281
641,13,x^13 + x^12 + 6,2^7 * 5 * 19501 * 18625940677319 * 13267812089933207
641,14,x^14 + x^13 + 187,2^8 * 3 * 5 * 43^2 * 107 * 281 * 1289 * 4314451 * 8681779 * 191808122983
641,15,x^15 + x^14 + 54,2^7 * 5^2 * 7 * 11 * 1741 * 4091 * 58789 * 751481 * 16345093571439036421
641,16,x^16 + x^15 + 139,2^11 * 3 * 5 * 17 * 107 * 81569 * 205441 * 1034849 * 919743313 * 911420263841
641,17,x^17 + x^16 + 27,2^7 * 5 * 103 * 239 * 64091 * 45142795487 * 11423150663625166960462613
641,18,x^18 + x^17 + 106,2^8 * 3^3 * 5 * 7 * 13 * 19 * 37 * 67 * 73 * 107 * 157 * 883 * 3727 * 58789 * 4472919343 * 2123174801053
641,19,x^19 + x^18 + 27,2^7 * 5 * 41953 * 165923381033 * 17897056532657 * 2683307015356267077163
641,20,x^20 + x^19 + 127,2^9 * 3 * 5^2 * 11 * 107 * 1201 * 4091 * 122701 * 205441 * 751481 * 8189761 * 23615701 * 168560231681
641,21,x^21 + x^20 + 46,2^7 * 5 * 7^2 * 281 * 463 * 1289 * 23857 * 28603 * 58789 * 35433301 * 191808122983 * 61305612972031
641,22,x^22 + x^21 + 312,2^8 * 3 * 5 * 23 * 107 * 28909 * 54121 * 33488936581 * 280484128387 * 405718939484192995470679
641,23,x^23 + x^22 + 86,2^7 * 5 * 967 * 8741 * 376787 * 2894321 * 6122439534492623140280491662694853556378047
641,24,x^24 + x^23 + 3,2^10 * 3^2 * 5 * 7 * 13 * 67 * 107 * 157 * 577 * 58789 * 81569 * 205441 * 1034849 * 168822785281 * 49395617958139795393
641,25,x^25 + x^24 + 19,2^7 * 5^3 * 11 * 4091 * 751481 * 4961216774963934151 * 5528437224880550176855075098231061751
641,26,x^26 + x^25 + 82,2^8 * 3 * 5 * 107 * 19501 * 18625940677319 * 13267812089933207 * 4804180937696382539653585320349441
641,27,x^27 + x^26 + 33,2^7 * 5 * 7 * 37 * 883 * 58789 * 78040153 * 635383603 * 2123174801053 * 6731167784480008149433808368638937
641,28,x^28 + x^27 + 209,2^9 * 3 * 5 * 29 * 43^2 * 107 * 281 * 1289 * 205441 * 4314451 * 8681779 * 191808122983 * 5499751700101 * 30168534693598847729
