p,n,poly,factorization
337,2,x^2 + x + 15,2^5 * 3 * 7 * 13^2
337,3,x^3 + x^2 + 20,2^4 * 3^2 * 7 * 43 * 883
337,4,x^4 + x^3 + 19,2^6 * 3 * 5 * 7 * 13^2 * 41 * 277
337,5,x^5 + x^4 + 44,2^4 * 3 * 7 * 12936304421
337,6,x^6 + x^5 + 15,2^5 * 3^2 * 7 * 13^2 * 43 * 883 * 113233
337,7,x^7 + x^6 + 29,2^4 * 3 * 7^2 * 239 * 878160882719
337,8,x^8 + x^7 + 15,2^7 * 3 * 5 * 7 * 13^2 * 41 * 277 * 6448958881
337,9,x^9 + x^8 + 93,2^4 * 3^3 * 7 * 43 * 883 * 1009 * 483912672769
337,10,x^10 + x^9 + 31,2^5 * 3 * 7 * 11 * 13^2 * 31 * 37711901 * 12936304421
337,11,x^11 + x^10 + 10,2^4 * 3 * 7 * 353 * 463 * 7151 * 28155997 * 575832599
337,12,x^12 + x^11 + 68,2^6 * 3^2 * 5 * 7 * 13^2 * 41 * 43 * 61 * 193 * 277 * 883 * 113233 * 1095541
337,13,x^13 + x^12 + 80,2^4 * 3 * 7 * 79 * 1158868517 * 23506511281974862727
337,14,x^14 + x^13 + 10,2^5 * 3 * 7^2 * 13^2 * 239 * 827 * 632521 * 2791979 * 878160882719
337,15,x^15 + x^14 + 33,2^4 * 3^2 * 7 * 43 * 883 * 184004551 * 12936304421 * 901405140151
337,16,x^16 + x^15 + 80,2^8 * 3 * 5 * 7 * 13^2 * 17 * 41 * 277 * 11777 * 14710417 * 28242337 * 6448958881
337,17,x^17 + x^16 + 20,2^4 * 3 * 7 * 60227864741094026321 * 460862711858233719361
337,18,x^18 + x^17 + 70,2^5 * 3^3 * 7 * 13^2 * 19 * 37 * 43 * 883 * 1009 * 113233 * 385039 * 5411521 * 483912672769
337,19,x^19 + x^18 + 45,2^4 * 3 * 7 * 3152309415518410958021327721956497713279754627
337,20,x^20 + x^19 + 29,2^6 * 3 * 5^2 * 7 * 11 * 13^2 * 31 * 41 * 277 * 37711901 * 77042941 * 12936304421 * 431849603921
337,21,x^21 + x^20 + 51,2^4 * 3^2 * 7^2 * 43 * 239 * 883 * 92991823 * 878160882719 * 23005063516071387099343
337,22,x^22 + x^21 + 87,2^5 * 3 * 7 * 13^2 * 23 * 199 * 353 * 463 * 7151 * 28155997 * 575832599 * 4115582357879838931889
337,23,x^23 + x^22 + 60,2^4 * 3 * 7 * 47 * 802103 * 1078500731589664566026321823576071782298740504127
337,24,x^24 + x^23 + 61,2^7 * 3^2 * 5 * 7 * 13^2 * 41 * 43 * 61 * 193 * 277 * 883 * 113233 * 1095541 * 6448958881 * 166356282556621335361
337,25,x^25 + x^24 + 20,2^4 * 3 * 7 * 1226801 * 4325401 * 46395101 * 12936304421 * 1449857753138496869002069520801
337,26,x^26 + x^25 + 248,2^5 * 3 * 7 * 13^3 * 79 * 1158868517 * 23506511281974862727 * 164561659670385207106165178917
337,27,x^27 + x^26 + 23,2^4 * 3^4 * 7 * 43 * 883 * 1009 * 483912672769 * 1047651793881489695247462915424370296136553169
337,28,x^28 + x^27 + 306,2^6 * 3 * 5 * 7^2 * 13^2 * 29 * 41 * 113 * 239 * 277 * 827 * 42533 * 632521 * 895553 * 2791979 * 878160882719 * 17189420505562369
337,29,x^29 + x^28 + 22,2^4 * 3 * 7 * 58542707 * 61170468193413936528187 * 16630803916401410179089944901888170465149
337,30,x^30 + x^29 + 247,2^5 * 3^2 * 7 * 11 * 13^2 * 31 * 43 * 181 * 751 * 883 * 17011 * 113233 * 37711901 * 184004551 * 12936304421 * 72156862081 * 901405140151
337,31,x^31 + x^30 + 31,2^4 * 3 * 7 * 10616137489 * 637119819348037353762447217703053232276475185916835650151180363903
